run,id,definition,defect_gt_%,defect_cov_mm,defect_HD95_mm,defect_n_pred,defect_prec_mm,defect_F1@0.05
notext,004,6mm,4.1015625,2.9141698274824654,4.530459508502083,280,2.88250845209362,0.9700347719370014
notext,004,implant,5.598958333333334,2.9930849042375343,4.590817778585902,322,2.8300232796972233,0.983751846381093
notext,076,5mm,5.989583333333334,2.918594037678279,4.914213677015597,521,2.7449987395219595,0.9848275862068966
notext,076,6mm,3.90625,2.8513762436485965,4.46957873296979,290,2.821754250878091,0.9902937976060936
notext,076,implant,4.801432291666666,2.838464818314462,4.476237361102968,298,2.803977279187542,0.9948892674616696
notext,077,5mm,4.345703125,3.2685826832077076,4.568780520605334,300,2.925534937450317,0.965740543265409
notext,077,6mm,3.4993489583333335,3.3510529661805144,4.593252056172224,221,3.145150209723771,0.9541193338480203
notext,077,implant,4.947916666666666,3.2636701883825543,4.486867505867205,267,3.0974447747750244,0.9687736454909043
notext,012,5mm,6.868489583333333,2.9894004133949332,4.403712794909198,539,2.883384057800876,0.9952380952380951
notext,012,6mm,4.817708333333334,2.91824935629236,4.276050532251764,325,2.9355109593246764,0.9953632148377125
notext,012,implant,6.201171875,3.000910192423551,4.446430634068786,359,2.9210711314167885,0.9960474308300395
notext,031,5mm,6.526692708333333,2.6336882229525473,3.9914177520466017,481,2.602387938473352,0.9949874686716792
notext,031,6mm,5.436197916666666,2.560751430374659,3.9470621502878767,392,2.586305021844604,0.9974424552429668
notext,031,implant,7.161458333333333,2.5516878661098255,3.914357272284209,463,2.5557040044826667,1.0
notext_r2,083,5mm,6.689453125,3.8263380230732476,6.557111414384293,502,3.107707865385774,0.937984496124031
notext_r2,083,6mm,3.6946614583333335,3.6704773766215038,5.799055246046726,256,3.4275314827762453,0.9389432449500726
notext_r2,083,implant,4.703776041666666,3.593864188534019,5.750261706200006,261,3.30825874435807,0.960431654676259
notext_r2,053,5mm,6.8359375,6.544482492431377,13.296700429639115,288,3.309504716895735,0.7518573551263
notext_r2,053,6mm,4.248046875,7.702026179267197,13.847663443201114,137,4.239036362536927,0.6441558441558441
notext_r2,053,implant,5.501302083333334,7.731809143904692,13.757386982618046,89,3.882131465994176,0.6204081632653061
notext_r2,070,5mm,6.461588541666667,2.8155656494687102,4.425073549417452,490,2.700119390484392,0.9936628643852978
notext_r2,070,6mm,4.78515625,2.6987441833268937,4.101154950372261,315,2.653732549955158,0.9984101748807631
notext_r2,070,implant,6.119791666666666,2.710200883923899,4.143438597075364,352,2.6058285760417528,1.0
notext_r2,045,5mm,4.899088541666666,2.8204318050313395,4.168951845120933,282,2.638719387113146,0.9896973484510312
notext_r2,045,6mm,4.264322916666666,2.835244657281836,4.1669875476886205,251,2.682622618861314,0.9802616781839194
notext_r2,045,implant,6.15234375,2.798994836603055,4.169320487936222,336,2.6148743782755006,0.9872638387125073
notext_r2,044,5mm,7.649739583333333,3.287058862384334,5.0205713582946325,580,3.0193924060206156,0.9881593110871906
notext_r2,044,6mm,5.289713541666666,3.3138206878007828,4.794022391888446,343,3.277482697153444,0.9836253950014364
notext_r2,044,implant,6.54296875,3.288182175539814,4.7469668561520395,369,3.1843292905197775,0.9962546816479401
notext_r2,039,5mm,4.98046875,3.3219136057985756,4.563636711070131,237,3.0617559730295993,0.9511574828822954
notext_r2,039,6mm,4.475911458333334,3.359485856725443,4.5819771399626426,250,3.471317495473253,0.8772073921971253
notext_r2,039,implant,6.087239583333334,3.337552844612357,4.5062432959640475,274,3.120174672982691,0.9552830169411909
notext_r2,022,5mm,6.201171875,3.8692529921865497,5.22155691658821,381,3.451200215867978,0.9527522952340723
notext_r2,022,6mm,5.17578125,3.994007705927401,5.26073291550755,296,3.9680961307279565,0.8845133646194655
notext_r2,022,implant,6.73828125,3.9299662135598896,5.103603662097389,337,3.739610013826137,0.9541983873569989
notext_r2,080,5mm,7.747395833333333,3.316615810638747,5.904820471265768,576,2.944770702713185,0.9708108108108108
notext_r2,080,6mm,4.768880208333334,3.050232699519237,4.8350044634744975,343,2.977497340454885,0.9885202091626949
